Date,Electricity,Gas,Water
2022-01-01,300,50,20
2022-02-01,280,45,18
2022-03-01,310,48,22
2022-04-01,320,52,25
2022-05-01,330,55,28
2022-06-01,350,60,30
2022-07-01,380,65,32
2022-08-01,400,70,35
2022-09-01,370,62,30
2022-10-01,360,58,28
2022-11-01,340,54,26
2022-12-01,320,50,23
2022-01-01,200,50,30
2022-02-01,180,45,32
2022-03-01,190,48,35
2022-04-01,210,52,40
2022-05-01,220,55,38
2022-06-01,230,58,42
2022-07-01,240,60,45
2022-08-01,250,62,48
2022-09-01,240,61,46
2022-10-01,230,59,43
2022-11-01,220,57,41
2022-12-01,210,54,39
2023-01-01,200,52,36
2023-02-01,190,50,33
2023-03-01,180,48,30
2023-04-01,170,45,28
2023-05-01,160,42,25
2023-06-01,150,40,22
2023-07-01,140,38,20
2023-08-01,130,35,18
2023-09-01,140,38,20
2023-10-01,150,40,22
2023-11-01,160,42,25
2023-12-01,170,45,28
2024-01-01,180,48,30
2024-02-01,190,50,33
2024-03-01,200,52,36
2024-04-01,210,54,39
2024-05-01,220,57,41
2024-06-01,230,59,43
2024-07-01,240,61,46
2024-08-01,250,62,48
2024-09-01,260,64,51
2024-10-01,270,66,54
2024-11-01,280,68,57
2024-12-01,290,70,60
2025-01-01,300,72,63
2025-02-01,310,74,66
2025-03-01,320,76,69
2025-04-01,330,78,72
2025-05-01,340,80,75
2025-06-01,350,82,78
2025-07-01,360,84,81
2025-08-01,370,86,84
2025-09-01,380,88,87
2025-10-01,390,90,90
2025-11-01,400,92,93
2025-12-01,410,94,96
2026-01-01,420,96,99
2026-02-01,430,98,102
2026-03-01,440,100,105
2026-04-01,450,102,108
2026-05-01,460,104,111
2026-06-01,470,106,114
2026-07-01,480,108,117
2026-08-01,490,110,120
2026-09-01,500,112,123
2026-10-01,510,114,126
2026-11-01,520,116,129
2026-12-01,530,118,132
2027-01-01,540,120,135
2027-02-01,550,122,138
2027-03-01,560,124,141
2027-04-01,570,126,144
2027-05-01,580,128,147
2027-06-01,590,130,150
2027-07-01,600,132,153
2027-08-01,610,134,156
2027-09-01,620,136,159
2027-10-01,630,138,162
2027-11-01,640,140,165
2027-12-01,650,142,168
2028-01-01,660,144,171
2028-02-01,670,146,174
2028-03-01,680,148,177
2028-04-01,690,150,180
2028-05-01,700,152,183
2028-06-01,710,154,186
2028-07-01,720,156,189
2028-08-01,730,158,192
2028-09-01,740,160,195
2028-10-01,750,162,198
2028-11-01,760,164,201
2028-12-01,770,166,204
2029-01-01,780,168,207
2029-02-01,790,170,210
2029-03-01,800,172,213
2029-04-01,810,174,216
2029-05-01,820,176,219
2029-06-01,830,178,222
2029-07-01,840,180,225
2029-08-01,850,182,228
2029-09-01,860,184,231
2029-10-01,870,186,234
